項次,1,2,3,4,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,1級互動211120221119,230420_互動_口罩解禁_NONDEMO,0605再行銷,問題單待處理/退款退費,1l3ru04,2024cny-lottery_折扣碼_2/18,0505懶人氣墊鞋,0518新好友,11月新會員,20230701-0706 消費滿1500折100,APP下載（主頁）,細版30入,0513熟客系統_點擊西門連結,btn_EventCalendar,APP加碼,2024_金卡,2023M10_保齡在地回饋_花蓮,1月,cybz_BD_十二月壽星,20210209_佳節問候_立刻集點,41~45歲,0618SMS deleted_at 2024-09-02 03:47:44,,LINE私域分享,190101至220441約翰森林,,202309月主題_再行銷_烏克蘭芭蕾,[Action] 參與 Communication Survey,0122 L1-3,0416 L1-1,aevéop純素植物洗顏露
,1級互動220312230311,230420_互動_口罩解禁_PC,0605暫篩,單入選 deleted_at 2024-06-28 06:19:04,1l3u;3,2024cny-lottery_折扣碼_2/19,0506二代豆豆鞋,0518 新好友200,1201-1213新會員,220315合併活動,APP下載（聯絡客服）,細版12入,0630點數到期通知_點擊購物網連結,btn_Event_Conferences,car,2112-LINE好友大募集!,2023M10會員日_印刷品,1月壽星,cybz_BD_十月壽星,20210223_找尋專屬口味_立即go,46歲以上,708,,tiktok官網－漫漫500元優惠,190101至220442約翰森林,,202309月主題_再行銷_烏克蘭芭蕾_好友分享,[Action] 參與 March Roadshow 問卷,0122 L2-3,0416 L2-1,【活動】語音
,1級互動(最後互動)220501221101,230420_互動_口罩解禁_Skin,0607暫篩,單入選 deleted_at 2024-07-22 09:49:36,202204會員日,2024cny-lottery_折扣碼_2/20,0506彎折豆豆鞋,0518舊好友,1201-1230新會員,220826test,APP活動,粗版桶裝15入,0711_熟客_A8_不沾燉鍋,btn_Event_Culture,Cheers,2112小遊戲,2023M10_會員活動抽獎_EDM,20220527_週間女孩優惠,cybz_BD_四月壽星,20210223_找尋專屬口味_立即go（fb）,619會員日,0717C,,tiktok廣告,190101至220443約翰森林,,202309月主題_再行銷_薩克斯風,autmo,0128 L1-2,0423 L1-2,薇佳豐盈養髮液
,1級互動粉絲210501-220407,230511_我的媽媽,0610暫篩,嗎嗎 deleted_at 2024-07-17 08:47:09,20221018test,2024cny-lottery_折扣碼_2/21,0507氣墊涼鞋,0524新好友,1212第一波,221029 Halloween,DIY體驗,粗版8入,0711_熟客_A8_罐加餐具,btn_Event_Education,CSR,2112新戶,2023M10火球盃_EDM,202205尚未加入,cybz_bind_success,20210224_點擊go,806絕版Sale最後一天,0723SMS deleted_at 2024-07-27 10:16:24,,Z研,190101至220444約翰森林,,202309月主題_再行銷_薩克斯風_好友分享,[Company] Accton,0128 L2-2,0423 L2-2,【活動】任選
,1級互動粉絲210601-220223,230511_我的媽媽_demo,0612暫篩,好友,20221018test2,2024cny-lottery_折扣碼_2/22,0508網布氣墊鞋,0525每日限搶,1212第二波,221030 Halloween,EDM導入,粗版15入 deleted_at 2024-06-19 03:00:47,0711_熟客_A8_蘋果鍋組,btn_Event_Flagship,CSR會員,2201直播,2023M10火球盃_印刷品,202205貼標互動,cybz_EC現客綁定,20210226_櫻花草莓拿鐵_已綁定,DM,0807test,,Z研優惠券,190101至220445約翰森林,,202311月主題_哆啦展_單人免費入場,[Company] Dell,0204 L1-3,0430 L1-3,ELLE SKINCARE輕停點水油
,1級互動粉絲210601-220224,230511_我的媽媽_econly,0619暫篩,媽媽 deleted_at 2024-07-22 09:49:32,2023_0901-0910_轉轉扭蛋,2024cny-lottery_折扣碼_2/23,0509厚底小白鞋,0526每日限搶,15%,221031 Halloween,EDM導入（好友推薦）,母親節,0711_熟客_南西_保溫瓶,btn_Event_Gastronomy,CWEF,2202-66折神券,2023M10火球盃_官網,2022_上半季_平日購票,cybz_PE_18,20210226_櫻花草莓拿鐵_未綁定,offline-官網最新活動,0816SMS,,五周年,190101至220446約翰森林,,202311月主題_哆啦展_單人免費入場_成功兌換,[Company] Delta,0204 L2-3,0430 L2-3,【活動】滿額折
,1級互動粉絲210601-220308,230511_我的媽媽_health,0628暫篩,媽媽們,2j/4a04,2024cny-lottery_折扣碼_2/24,0509綁帶餅乾鞋,0527限搶,180天新加入會員_無標籤,221223-221226 聖誕扭蛋遊戲,Facebook（好友推薦）,智能,0711_熟客_南西_燜燒鍋組,btn_Event_Lifestyle,ESG,2202-出貨公告,2023M10火球祭_票券,2022_上半季_週末購票,cybz_PE_18-24,20210304_櫻花草莓拿鐵_影片,online_分眾折扣_再行銷,0828SMS,,五周年入住,190101至220447約翰森林,,202311月主題_展覽_樋口優惠折扣,[Company] Delta_Datacom,0219 L1-1,0507 L1-1,【活動】影片
,1級互動粉絲210901-220223,230511_我的媽媽_skin,0702暫標,客服互動,3C,2024cny-lottery_折扣碼_2/25,0510奶茶色餅乾鞋,0528限搶,1l3ru04,221224-221226 聖誕扭蛋遊戲,FB導入,客服專用-補券,0711_熟客_南西_蘋果鍋組,btn_Event_Science,ESG_實踐家,2202-必buy商品,2023M10颶風籃球報名_印刷品,2022南投,cybz_PE_25-34,20210317_春日邀請活動_即刻購買,online_分眾折扣碼,0918LF,,優惠興趣,190101至220448約翰森林,,202311月主題_極速增粉_被邀請者,[Company] Foxconn,0219 L2-1,0507 L2-1,訂單查詢
,1級互動粉絲210901-220407,230513_愛媽咪互動卡片,0705暫篩,寵物 deleted_at 2024-07-17 08:47:33,3C_Apple,2024cny-lottery_折扣碼_2/7,0511休閒拖鞋,0530餐廚兩件八折,1more,221224~25 聖誕扭蛋,KOKO導入,官網年中慶結帳回饋,0721推播私訊櫃姐,btn_EventsOfTheMonth deleted_at 2024-08-26 09:41:29,ESG_支持者,2202-折價金,2023M10颶風籃球報名_印刷物,2022台中,cybz_PE_35-44,20210317_春日邀請活動_文字1,一儀一乳,0930 B3F3,,入住前3天_和社山林,190101至220449約翰森林,,202311月主題_極速增粉_邀請者,[Company] Foxtron,0226 L1-2,0514 L1-2,薇佳微晶3D全能淡斑精華
,1級互動粉絲210909220908,230525_互動_QA集點,0709暫篩,小菜,3C_logitech,2024cny-lottery_折扣碼_2/8,0511登記洞洞休閒氣墊鞋,0531香氛,2019-2020_加入_無標籤,230120-230123 好運求籤,LINE旅遊導入,圖文選單測試標籤,120週年特展活動_草山玉溪加入好友,btn_Event_Sports,ESG_策略家,2202-攻略,2023M11冬保報名_META,2022台北,cybz_PE_45,20210317_春日邀請活動_文字3,一儀一乳（清爽）,1030未開封有標籤,,入住前3天_夕陽漫漫,190101至220450約翰森林,,202311月主題_樋口展_單人免費入場,[Company] HPE,0226 L2-2,0514 L2-2,已綁定
,1級互動粉絲210924220923,230525_互動_QA集點_小卡包,0712暫篩,小菜 deleted_at 2024-07-22 09:49:43,3C_moshi,2024cny-lottery_折扣碼_2/9,0512登記止滑慢跑鞋,0602 FB免運加進來的新好友,20201-20202_點擊過推播,2301好籤遊戲導流,Point,單身,20220412~18分享好友得LINE10點,btn_Event_Sustainability,new,2202-福袋,2023M11冬保報名_印刷品,2022台南,cybz_POS,20210317_春日邀請活動_文字4,一儀兩乳,1030未開封無標籤,,入住前3天_山中靜靜,190101至220451約翰森林,,202311月主題_樋口展_單人免費入場_成功兌換,[Company] Hyve,0303 L1-1,0521 L1-3,實體
,1級互動粉絲211001220930,230525_互動_QA集點_眼罩,0724五折,影片,3C_PS,2024cny-lottery_抽獎活動加入,0513登記環保紗老爹鞋,0602 LINE Pay 5%,2020有消費過的會員,230201 流失客人100折價券,Richard導入,商品：髮夾,20220412~18抽中10點LP,btn_FrenchExams,Podcast,2202-開工紅包,2023M11會員日_印刷品,2022台東,cybz_RI_會員綁定line,20210325_家常美式_我想試試,一儀兩乳(清爽),1221臨時標籤,,入住前3天_霧繞,190101至220452約翰森林,,202311月主題_第一重抽獎名單,[Company] Inspur,0303 L2-1,0521 L2-3,【活動】雙11
,1級互動粉絲220401220930,230525_互動_QA集點_行李箱,0724暫標,愛上測試,3C_switch,2024好眠一夏-邀好友導流連結(EDM),521,0602-遊戲分享進來的新客,2021年4月新會員,230224-230301 RM骰骰大富翁,SPA按摩,商品：抓夾,20220412~18抽中海洋篇,btn_FrenchSchools,sd deleted_at 2024-08-24 12:47:25,2203-好友大募集,2023M11週年慶_EDM導官網文章_抽獎,2022味全龍意見回饋,cybz_下單補償,20210325_星巴克拿鐵_我想試試,一年買1次,15周年禮盒,,入住確認信－夕陽漫漫,190101至220453約翰森林,,202311月主題_藝文演出_單人免費入場,[Company] Inventec,0305 L1-3,0528 L1-1,斑點膚色不均
,1級互動粉絲220801-220218,230525_互動_QA集點_野餐帳,0724暫篩,料理食譜,3C_switch_週邊,2024好眠一夏-邀好友導流連結(EDM用),11月圖文,0603 - 提醒最高 13 %,2021年5月新會員,230301 RM骰骰大富翁last call,test,商品：大腸圈,20220420~0503分享好友得遊戲券,btn_IdentityDocs,SDGS,2203-幸運拉霸,2023M11週年慶_官網_登錄成功頁面,2022味全龍意見回饋_完成填寫,cybz_來源：門市助理,20210325_櫻花草莓拿鐵_我想試試,一年買2~3次,17,,入住確認－和社山林,190101至220454約翰森林,,202311月主題_超級拉霸,[Company] Lite On,0305 L2-3,0528 L2-1,aevéop故事寫手
,1級互動粉絲(最後互動)200824-210824,230525_互動集點_面紙套,0元,新品快訊,3C_xbox,2024母親節-邀好友導流連結點擊(EDM),11月秒殺登記,0607新好友,2022年10月新會員,230315合併訊息名單_hubspot,一日遊,參加月老測驗,20220420~0503抽中去漬清潔劑,btn_Inscription,SeeMi,2204-好友大募集,2023M11週年慶_抽獎_EDM,2022嘉義,cybz_台中中友:pos_shop_id_858,20210325_閑庭美式_我想試試,一年買4次以上,【1F】美妝保養館,,入住確認－山中靜靜,190101至220455約翰森林,,202311月主題_超級拉霸_遊戲券,[Company] Molex,0310 L1-2,0604 L1-2,貼圖
,1級互動粉絲(最後互動)201101-211008,230601_互動_集點_尋找消失魔法,10/14-10/23門市限定,果,3C_三星,2024母親節-邀好友導流連結點擊(官網),12月圖文,0607 - 正式場使用的限時折扣碼( line ),2022年11月新會員,230324-0329領取折扣標籤,中國,分類：線下通路,20220420~0503抽中口罩套,btn_JoinUs,TEST,2205-好友大募集,2023M11週年慶_會員之夜_印刷品,2022基隆,cybz_台中新光,20210401_momo通路_立即兌換,一年買一次,20201101,,入住確認－霧繞,190101至220456約翰森林,,202312月主題,[Company] Quanta,0310 L2-2,0604 L2-2,薇佳小紅急救修復精華液
,1級互動粉絲(最後互動)201201_211002,230603_互動_集點_尋找消失魔法,101忠狗,果 deleted_at 2024-06-28 06:18:55,456789,2024母親節_邀好友活動_被邀者,12月壽星,0607 - 正式場預告,2022年12月新會員,230324-line綁定一般會員名單,中國上海,內部員工,20220420~0503抽中百貨50元,btn_JoinUs deleted_at 2024-08-26 09:41:27,tt,2205-超人媽媽大富翁,2023M11週年慶_會員之夜_搶先登錄,2022_季票購買,cybz_台中新光:pos_shop_id_958,20210401_拉花體驗_按鈕1,一袋一鹽,20231129,,入住確認－鳳凰亭序,190101至220457約翰森林,,202312月主題__AW中獎者,[Company] SuperMicro,0312 L1-1,0611 L1-3,【活動】滿額禮
,1級互動粉絲(最後互動)201201-211002,230617_互動-QA放假去哪,10月新好友,果 deleted_at 2024-07-17 08:47:27,5/32u03,2024母親節_邀好友活動_邀請者,12月壽星簡訊,0608-正式場遊戲分享進來的新客,2022年1新會員,230717-購物金&月桂女神七週年,中國北京,免費兌換,20220420~0503抽中購物袋,btn_KaohsiungFrenchFestival deleted_at 2024-08-26 09:41:34,TWA,2205-點擊277綁定成功訊息,2023M12_CSQ_上次回館_1~3個月,2022宜蘭,cybz_台北微風:pos_shop_id_924,20210401_拉花體驗_按鈕2,一袋兩鹽,234級,,分享,190101至220458約翰森林,,202312月主題_EDM_IG,[Company] Wistron,0312 L2-1,0611 L2-3,薇佳多效物理隔離EE霜
,1級互動粉絲(最後互動)210101-210924,230619_互動_猜猜集點寶物,1+1,果 deleted_at 2024-07-22 09:49:45,5/3u203,3c,12月實體特賣會加入,0609限搶,2022年5月新會員,230721-0819 $100購物金名單,中港澳,優惠：綁定_領金卡回櫃禮 deleted_at 2024-09-06 06:21:17,20220420~0503抽中鋼刷,btn_LearnFrench,世界地球日,2206-好友大募集,2023M12_CSQ_上次回館_1個月內,2022屏東,cybz_台北新光A4:pos_shop_id_858,20210401_拉花體驗_按鈕3,久坐一族,【2F】時尚精品館,,台北青商,190101至220459約翰森林,,202312月主題_IG,[Company] Wiwynn,0317 L1-3,0617test,aevéop純素植物精華液
,1級互動粉絲(最後互動)210101-211208,2306_import_member,1107,榴槤,5/3U203,ambientec deleted_at 2024-06-25 10:06:26,15 周年特賣會,0610限搶,2022年6月新會員,230901幸運星專屬小禮,主題樂園,優惠：綁定_領母檔滿800折100,2022EDM加入好友,btn_Legalization,中國 deleted_at 2024-07-07 11:02:13,2302,2023M12_CSQ_上次回館_1年以上,2022年狂龍軍,cybz_台北新光A4:pos_shop_id_923,20210401_拿鐵試飲心得,久站一族,2件$999,,和社櫃台,190101至220460約翰森林,,202312月主題_活動頁_FB,[Company] ZT,0317 L2-3,908,薇佳豐盈睫毛纖長液
,1級互動粉絲(最後互動)210201-210925,230708_互動-QA小屈問券,1113新品,每日一殺 deleted_at 2024-07-17 08:47:20,618搶貨節,APP,20200119,0611限搶,2022年7月新會員,230926 刮刮樂未綁定分享,二日遊,優惠：綁定_領新客體驗禮,20230309奇奇蒂蒂搶先註冊會員推播通知名單,btn_Olympics deleted_at 2024-08-26 09:40:54,中秋節,2302小遊戲,2023M12_CSQ_上次回館_3~6個月,2022年龍粉知己,cybz_台南新光:pos_shop_id_921,20210412_官網限定_pic,亮女,38女王節,,回頭客-已領取和社山林折扣,190101至220461約翰森林,,202312月主題_活動頁_圖文選單,[Engagement] Interested with questions,0319 L1-2,1120 L1-1,【品牌】allyoung
,1級互動粉絲(最後互動)210201-211001,230708_互動-QA小屈問券(1-沒關係 立即加入),1115_1030,每日一殺 deleted_at 2024-07-22 09:49:14,ao3g6,cj4j94,20210119,0614-兒童房佈置靈感,2022年8月新會員,230926-231002 刮刮樂分享點擊,交通票券,優惠：綁定_領專櫃金卡回櫃禮,202303電器問卷加入LINE好友,btn_StudyInFrance,中醫,2302小遊戲-TEST,2023M12_CSQ_上次回館_6個月~1年,2022彰化,cybz_屏東太平洋:pos_shop_id_956,20210412_官網限定_text,亮女輕涼霜,【3F】仕女紳士館,,回頭客-已領取漫漫折扣,190101至220462約翰森林,,202312月主題_活動頁_瘋活動官網,[Interest] 224G_Mirror Mezz,0319 L2-2,1120 L2-1,薇佳速效抗痘調理精華
,1級互動粉絲(最後互動)210201-211016,230708_互動-QA小屈問券(2-綁定LINE好友),1120_1030,每日殺 deleted_at 2024-07-17 08:47:17,cd,click-10/1/10/31 deleted_at 2024-06-25 10:06:32,20210120,0615-催票場前的折扣碼2000-100,2022年9月新會員,230926-231002免運券歸戶,交通資訊,優惠：綁定_領專櫃精選髮飾9折券,202307增粉_被邀請人成功加入好友,btn_TeamFrance,人才,2302小遊戲分享,2023M12_CSQ_推薦度_推廣者,2022新北,cybz_性別_女,20210419_口味移轉_SBX拿鐵,代謝雙效按摩乳,【4F】居家生活館,,回頭客-已領取霧繞折扣,190101至220463約翰森林,,202312月主題_第二重抽獎名單,[Interest] 224G_OSFP,0324 L1-1,1127 L1-2,含金高
,1級互動粉絲(最後互動)210201-211023,230708_互動-QA小屈問券(post我是-查詢是否綁定),1124_2000,每日殺 deleted_at 2024-07-22 09:49:06,CD_DVD,click-2/1-6/30,20210121,0615-韓式餐桌,2023年10月新會員,230926-231002領取免運券,伴手禮,優惠：綁定_領專櫃前7加碼,202307增粉_邀請人成功邀請好友,btn_TeamFrance deleted_at 2024-08-26 09:41:38,人才永續論壇,2302小遊戲分享再玩乙次-TEST,2023M12_CSQ_推薦度_消極者,2022新竹,cybz_性別_男,20210419_口味移轉_卡布奇諾,仲夏輕檸磨砂膏,【5F】母嬰兒童館,,回頭客-已領取靜靜折扣,190101至220464約翰森林,,2023RJ,[Interest] 224G Solutions,0324 L2-1,1127 L2-2,薇佳蜜花酸晶煥膚美白精萃
,1級互動粉絲(最後互動)210201-211211,230708_互動-QA小屈問券(未綁定),1125_1200,水果,h0 jt6,click-7/1-9/30,20210122,0617 - FB折扣碼加進來的新好友,2023年11月新會員,230926-231002領取刮刮樂,低互動喚醒,優惠：綁定_領專櫃$50優惠券,【2023會員回娘家】官網現折88元,btn_Visa,人物傳記,2302小遊戲分享好友再玩乙次,2023M12_CSQ_推薦度_詆毀者,2022桃園,cybz_桃園新光:pos_shop_id_920,20210419_口味移轉_義式濃縮濃烈,來源_官網,7號可以推,,地上螢河季免責風險說明,190101至220465約翰森林,,[2023 The哆啦A夢],[Interest] Automotive,0326 L1-3,1204 L1-3,LINE@
,1級互動粉絲(最後互動)210211-210925,230714_分眾_點我綁定LINE官方好友,1127_1030,海鮮,h0 tj6,exclude,20210123,0617 LINE 新好友限定,2023年12月新會員,231021-幸運星發送第一次,住宿,優惠：綁定_領官網$50折扣金,【2023跨年LINE限定】會員獨享拉霸抽獎,btn_VIsa deleted_at 2024-08-26 11:29:54,人際關係,2302小遊戲分享好有再玩乙次,2023M12_CSQ_會員續辦意願低,2022澎金馬,cybz_綁定門市：市集活動,20210429_SBX體驗館_pic,優惠,888,,夕陽漫漫,190101至220466約翰森林,,[2023 The哆啦A夢]_圖文選單,[Interest] Automotive_Connta50,0326 L2-3,1204 L2-3,薇佳2%水楊酸美體煥膚乳
,1級互動粉絲(最後互動)210215-211009,2307_game_BC,1129_2000,湯品,icash,FELLOW ODE Gen2開賣通知,20210124,0617 - 新好友,2023年1月新會員,231021-幸運星發送第三次,住宿訂房,優惠：綁定_用專櫃金卡回櫃禮,【2023高雄啤酒音樂節】幸運轉盤DAY2,evt_Demo,人際關係學,2302檔277綁定 deleted_at 2024-07-10 06:13:01,2023M12_CSQ_會員續辦意願高,2022_狂龍軍,cybz_長購組,20210503_點數雙倍送_text1,優惠券,9/7洗髮不推,,官網,190101至220467約翰森林,,[2023亞洲手創展],[Interest] Automotive_eHV,0331 L1-2,1211 L1-1,【活動】購物金
